,1,10,30,100,300,1000,3000,10000,30000,100000,300000
425,110,110,110,110,110,110,110,110,110,110,110
450,108,108,108,108,108,108,108,108,108,108,108
475,107,107,107,107,107,107,107,107,107,107,107
500,106,106,106,106,106,106,106,106,106,106,106
525,105,105,105,105,105,105,105,105,105,105,105
550,104,104,104,104,104,104,104,104,104,101,87
575,104,104,104,104,104,104,104,104,95,79,67
600,102,102,102,102,102,102,102,91,75,62,51
625,101,101,101,101,101,94,86,72,59,48,40
650,101,101,101,98,84,72,64,57,48,38,31
675,98,98,98,80,69,58,51,44,38,30,24
700,92,91,78,65,54,46,41,34,28,22,18
725,85,75,63,52,44,36,31,25,21,16,13
750,76,62,51,41,35,29,24,19,16,11,9
775,65,50,40,32,27,23,18,14,12,8,7
800,58,40,32,25,21,17,13,10,8,5,4