CaseNumber,Temperature,-30,0,40,65,100,125,150,200,250,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825
33,Smls. tube,138,138,138,138,138,138,138,134,126,119,116,114,112,111,110,108,108,107,106,105,99.8,80.3,65.5,50.4,38.6,29.6,23,17.7,13.4,10.4,8.05
34,Smls. tube,138,138,138,128,118,112,107,99.2,92.8,88.1,86.1,84.1,82.9,82,81.4,80.6,79.8,79.2,78.7,77.8,77.1,75,65.5,50.4,38.6,29.6,23,17.7,13.4,10.4,8.05
37,Wld. tube,117,117,117,117,117,117,117,114,107,101,99,96.8,95.7,94.4,93.1,92.5,91.4,90.5,89.9,89.3,85.3,68.1,55.6,42.9,33,25.3,19.4,14.7,11.3,8.9,6.77
38,Wld. tube,117,117,117,109,99.8,94.9,90.8,84,78.8,74.7,73.3,72.1,70.8,69.6,69,68.4,67.7,67.1,66.5,65.9,65.3,64,55.6,42.9,33,25.3,19.4,14.7,11.3,8.9,6.77
39,Wld. tube,138,138,138,128,118,112,107,99.2,92.8,88.1,86.1,84.1,82.9,82,81.4,80.6,79.8,79.2,78.7,77.8,77.1,75,65.5,50.4,38.6,29.6,23,17.7,13.4,10.4,8.05
40,Wld. tube,138,138,138,138,138,138,138,134,126,119,116,114,112,111,110,108,108,107,106,105,99.8,80.3,65.5,50.4,38.6,29.6,23,17.7,13.4,10.4,8.05
41,Smls. & wld. pipe,138,138,138,138,138,138,138,134,126,119,116,114,112,111,110,108,108,107,106,105,99.8,80.3,65.5,50.4,38.6,29.6,23,17.7,13.4,10.4,8.05
42,Smls. & wld. pipe,138,138,138,128,118,112,107,99.2,92.8,88.1,86.1,84.1,82.9,82,81.4,80.6,79.8,79.2,78.7,77.8,77.1,75,65.5,50.4,38.6,29.6,23,17.7,13.4,10.4,8.05
43,Wld. tube,117,117,117,117,117,117,117,114,107,101,99,96.8,95.7,94.4,93.1,92.5,91.4,90.5,89.9,89.3,85.3,68.1,55.6,42.9,33,25.3,19.4,14.7,11.3,8.9,6.77
44,Wld. tube,117,117,117,109,99.8,94.9,90.8,84,78.8,74.7,73.3,72.1,70.8,69.6,69,68.4,67.7,67.1,66.5,65.9,65.3,64,55.6,42.9,33,25.3,19.4,14.7,11.3,8.9,6.77